;AGE;INCOME;GENDER;MARITAL;NUMKIDS;NUMCARDS;HOWPAID;MORTGAGE;STORECAR;LOANS;RISK
0;Old;Very High;m;married;One;One;monthly;y;One;Zero;good risk
1;Middle;Very High;m;married;Zero;Two;monthly;y;Two;One;good risk
2;Middle;Very High;m;married;One;One;monthly;y;Two;One;bad profit
3;Old;Very High;m;married;One;Two;monthly;y;One;Zero;good risk
4;Middle;Very High;m;married;Zero;Two;monthly;y;Two;Zero;good risk
5;Middle;Very High;f;married;One;One;monthly;y;Two;Zero;good risk
6;Old;Very High;m;married;Zero;One;monthly;y;Two;Zero;good risk
7;Middle;Very High;f;married;Zero;One;monthly;y;Two;Zero;bad profit
8;Old;Very High;m;married;One;One;monthly;y;One;One;good risk
9;Middle;Very High;m;married;Zero;One;monthly;y;One;Zero;good risk
10;Middle;Very High;m;married;One;Two;monthly;y;One;One;good risk
11;Middle;Very High;m;married;One;One;monthly;y;One;Zero;bad loss
12;Middle;Very High;m;married;Zero;One;monthly;y;Two;One;good risk
13;Middle;Very High;f;married;Zero;Two;monthly;y;One;One;bad loss
14;Middle;Very High;m;married;Zero;Two;monthly;y;Two;One;good risk
15;Middle;Very High;f;married;Zero;Two;monthly;y;One;One;good risk
16;Middle;Very High;f;married;One;One;monthly;y;Two;One;bad profit
17;Young;Very High;m;married;Zero;Two;monthly;y;One;One;good risk
18;Middle;Very High;m;married;Zero;One;monthly;y;Two;Zero;good risk
19;Young;Very High;m;married;One;One;monthly;y;Two;Zero;good risk
20;Middle;Very High;f;married;Zero;Two;monthly;y;One;Zero;bad loss
21;Old;Very High;f;married;Zero;Two;monthly;y;Two;One;good risk
22;Middle;High;f;married;Zero;One;monthly;y;Two;One;good risk
23;Middle;High;f;married;One;One;monthly;y;One;Zero;bad profit
24;Middle;High;m;married;One;One;monthly;y;Two;One;good risk
25;Old;High;m;married;One;Two;monthly;y;Two;Zero;good risk
26;Middle;High;m;married;Zero;One;monthly;y;One;One;good risk
27;Middle;High;f;married;One;Two;monthly;y;One;Zero;bad profit
28;Middle;High;m;married;One;One;monthly;y;Two;Zero;good risk
29;Old;High;f;married;One;Two;monthly;y;Two;One;good risk
30;Middle;High;m;married;One;One;monthly;y;Two;One;good risk
31;Old;High;f;married;One;Two;monthly;y;Two;One;good risk
32;Young;High;m;married;Zero;One;monthly;y;Two;Zero;good risk
33;Middle;High;f;married;Zero;Two;monthly;y;Two;Zero;bad loss
34;Middle;High;m;married;Zero;One;monthly;y;One;One;bad profit
35;Old;High;f;married;Zero;One;monthly;y;One;One;good risk
36;Middle;High;f;married;Zero;Two;monthly;y;One;One;good risk
37;Old;High;m;married;One;Two;monthly;y;Two;One;good risk
38;Old;High;m;married;One;One;monthly;y;One;Zero;bad profit
39;Middle;High;m;married;One;Two;monthly;y;One;One;good risk
40;Old;High;m;married;Zero;One;monthly;y;One;Zero;bad profit
41;Young;High;f;married;Zero;Two;monthly;y;One;Zero;bad profit
42;Old;High;m;married;One;One;monthly;y;One;One;bad profit
43;Middle;High;f;married;One;Two;monthly;y;Two;One;good risk
44;Old;High;m;married;One;One;monthly;y;One;Zero;bad loss
45;Middle;High;m;married;Zero;One;monthly;y;Two;Zero;good risk
46;Middle;High;m;married;One;One;monthly;y;Two;Zero;good risk
47;Old;High;m;married;One;Two;monthly;y;Two;One;good risk
48;Middle;High;m;married;One;One;monthly;y;One;One;good risk
49;Young;High;m;married;Zero;One;monthly;y;One;One;good risk
50;Young;High;f;married;Zero;Two;monthly;y;Two;One;bad profit
51;Middle;High;f;married;One;Two;monthly;y;Two;Zero;good risk
52;Young;High;f;married;One;One;monthly;y;Two;Zero;bad loss
53;Middle;High;m;married;Zero;One;monthly;y;Two;Zero;good risk
54;Young;High;f;married;One;One;monthly;y;Two;Zero;bad profit
55;Middle;High;f;married;Zero;Two;monthly;y;Two;One;good risk
56;Middle;High;m;married;One;One;monthly;y;One;One;good risk
57;Old;High;m;married;Zero;One;monthly;y;One;One;good risk
58;Middle;High;m;married;One;Two;monthly;y;One;One;good risk
59;Young;High;m;married;One;Two;monthly;y;One;Zero;good risk
60;Middle;High;m;married;One;Two;monthly;y;One;One;good risk
61;Middle;High;f;married;Zero;Two;monthly;y;Two;Zero;good risk
62;Middle;High;m;married;Zero;Two;monthly;y;Two;Zero;bad loss
63;Middle;High;m;married;Zero;Two;monthly;y;Two;One;bad loss
64;Middle;High;f;single;Zero;Zero;monthly;y;Two;Zero;bad loss
65;Young;High;f;married;One;One;monthly;y;One;Zero;good risk
66;Middle;High;m;single;Zero;One;monthly;y;One;Zero;bad loss
67;Middle;High;m;single;Zero;One;monthly;y;One;Zero;good risk
68;Old;High;f;single;Zero;One;monthly;y;Two;Zero;bad loss
69;Middle;High;m;married;One;One;monthly;y;Two;Zero;good risk
70;Old;High;m;single;Zero;One;monthly;y;One;Zero;good risk
71;Middle;High;f;single;Zero;Zero;monthly;y;Two;Zero;good risk
72;Middle;High;m;single;Zero;Zero;monthly;y;Two;Zero;bad loss
73;Old;High;f;married;One;Two;monthly;y;Two;One;good risk
74;Young;High;f;single;Zero;Zero;monthly;y;Zero;Zero;bad profit
75;Old;High;m;single;Zero;One;monthly;y;One;Zero;good risk
76;Young;High;m;single;Zero;Zero;monthly;y;Two;Zero;bad profit
77;Young;High;f;single;Zero;One;monthly;y;One;Zero;bad profit
78;Old;High;f;married;Zero;One;monthly;y;One;One;good risk
79;Young;High;m;single;Zero;Zero;monthly;y;Two;Zero;good risk
80;Middle;High;f;single;Zero;Zero;monthly;y;Two;Zero;good risk
81;Young;High;f;single;Zero;Zero;monthly;y;Zero;Zero;bad profit
82;Middle;High;f;single;Zero;One;monthly;y;Zero;Zero;good risk
83;Old;High;f;single;Zero;One;monthly;y;One;Zero;good risk
84;Middle;High;f;single;Zero;One;monthly;y;Zero;Zero;good risk
85;Old;High;m;single;Zero;Zero;monthly;y;Zero;Zero;good risk
86;Old;Middle;m;divsepwid;Two;Five;weekly;y;Three;Two;bad profit
87;Old;Middle;m;divsepwid;Four;Six;weekly;y;Five;Three;bad profit
88;Young;Middle;m;single;Zero;One;monthly;y;Two;Zero;good risk
89;Young;Middle;f;single;Zero;Zero;monthly;y;One;Zero;good risk
90;Old;Middle;f;married;Two;Three;monthly;y;Four;One;bad loss
91;Old;Middle;f;married;Three;Three;monthly;y;Four;One;bad loss
92;Old;Middle;m;divsepwid;Three;Six;weekly;y;Four;Three;bad profit
93;Young;Middle;f;single;Zero;Zero;monthly;y;One;Zero;good risk
94;Old;Middle;m;divsepwid;Four;Five;weekly;n;Four;Three;bad loss
95;Old;Middle;f;single;Zero;One;monthly;y;Two;Zero;bad profit
96;Old;Middle;f;divsepwid;Three;Five;weekly;y;Four;Two;bad profit
97;Young;Middle;m;single;Zero;One;monthly;y;Zero;Zero;good risk
98;Old;Middle;f;divsepwid;Three;Five;weekly;y;Five;Two;bad loss
99;Old;Middle;m;divsepwid;Three;Six;weekly;y;Four;Two;bad profit
100;Old;Middle;m;divsepwid;Two;Six;weekly;n;Three;Two;bad loss
101;Old;Middle;f;divsepwid;Three;Five;weekly;y;Three;Two;bad profit
102;Young;Middle;m;single;Zero;Zero;monthly;y;Two;Zero;bad loss
103;Old;Middle;m;divsepwid;Three;Six;weekly;n;Five;Three;bad profit
104;Young;Middle;m;divsepwid;Two;Six;weekly;n;Four;Three;bad profit
105;Middle;Middle;f;single;Zero;Zero;monthly;y;One;Zero;good risk
106;Old;Middle;m;married;Two;Four;monthly;y;Five;One;bad loss
107;Young;Middle;f;married;Three;Four;weekly;y;Four;Two;bad loss
108;Old;Middle;m;divsepwid;Two;Five;weekly;n;Three;Two;bad profit
109;Old;Middle;f;married;Two;Four;weekly;y;Four;One;bad loss
110;Young;Middle;f;married;Three;Four;monthly;y;Five;One;bad loss
111;Old;Middle;m;divsepwid;Two;Six;weekly;n;Four;Two;bad profit
112;Old;Middle;m;single;Zero;One;monthly;y;Two;Zero;good risk
113;Old;Middle;f;divsepwid;Three;Five;weekly;n;Three;Two;bad loss
114;Old;Middle;m;divsepwid;Three;Five;weekly;y;Four;Two;bad profit
